gender,time_to_click,time_to_fall
MALE,2.294162264150945,5.9107757635041
NOT_KNOW,1.6202222222222222,7.0293500789946
BOTH,1.8704999999999998,7.6047614153774
FEMALE,2.4817000000000005,6.7652429057435
MALE,2.219967592592591,6.0189214707787
NOT_KNOW,2.2208666666666668,6.950233168945
BOTH,1.8296666666666666,6.8113643292257
FEMALE,2.6854999999999998,7.0722988545268
MALE,2.191259398496242,6.2575177323568
NOT_KNOW,1.7195,7.1124892189602
BOTH,2.0071666666666665,7.0754565188579
FEMALE,2.4960625,6.3499084759806
MALE,2.2090708661417304,7.3395483747133
NOT_KNOW,1.7174999999999998,7.0403390614029
BOTH,1.7327499999999998,7.703335963538
FEMALE,2.6434545454545457,6.2612859330333
MALE,2.2496206896551714,7.2078285240693
NOT_KNOW,1.5950714285714285,7.1914081708737
BOTH,1.9628,6.9857286421828
FEMALE,2.904166666666667,7.5039281904017
MALE,2.237960869565218,7.6692528986496
NOT_KNOW,1.8856363636363633,7.5485956477089
BOTH,1.4157999999999997,6.8039352867968
FEMALE,2.8026666666666666,6.8369885623764
MALE,2.1691204819277097,7.8703228551187
NOT_KNOW,1.801,7.2185994805795
BOTH,2.3688,7.2430220230234
FEMALE,2.9681333333333337,7.4398770767305
MALE,2.1915208333333336,7.8599352621546
NOT_KNOW,1.8631052631578948,6.8427315023772
BOTH,2.27,7.8022350502771
FEMALE,2.5525500000000005,7.569627759525
MALE,2.1778106995884774,6.7838167361844
NOT_KNOW,1.5968461538461538,7.2168437021111
BOTH,2.0194444444444444,6.9343585435366
FEMALE,2.7656,6.9724271761564
MALE,2.248350210970463,6.6366742950294
NOT_KNOW,1.6112941176470585,6.8336515787614
BOTH,1.4751666666666665,7.2551883088283
FEMALE,2.8036,6.863576419757
MALE,2.264879562043794,6.6262038915955
NOT_KNOW,2.0187692307692306,6.6979880914854
BOTH,1.8887142857142858,7.3754889230443
FEMALE,2.389214285714286,6.8355398006854
MALE,2.248390350877194,7.1213732107586
NOT_KNOW,1.6275999999999997,7.6748929371805
BOTH,2.0935555555555556,7.3576225846736
FEMALE,2.6867692307692304,7.097872676436
MALE,2.280519313304721,7.3800482315535
NOT_KNOW,1.495875,7.868338090771
BOTH,1.6564285714285716,7.7216815038063
FEMALE,2.738777777777778,6.6009894677438
MALE,2.133258687258687,7.6525199143252
NOT_KNOW,1.881692307692308,7.7030776693677
BOTH,1.6586666666666667,7.0668096548015
FEMALE,2.7155333333333336,6.6171838011207
MALE,2.257158536585364,6.3829816287298
NOT_KNOW,1.7527000000000001,6.800183591013
BOTH,1.9053749999999998,7.6555359077566
FEMALE,2.5056111111111115,7.2101597824803
MALE,2.122645669291338,6.7772417853271
NOT_KNOW,1.7943333333333333,6.6458759133885
BOTH,1.8423333333333334,7.1167338150936
FEMALE,2.3812857142857142,6.8154001303057
MALE,2.1993347107438015,7.206628549656
NOT_KNOW,1.6776000000000004,6.438620439134
BOTH,1.7264444444444444,7.601996086743
FEMALE,2.3695,6.4032881082913
MALE,2.2331118881118885,5.2549452827418
NOT_KNOW,1.6273,7.631065955457
BOTH,1.9085714285714286,6.8802241862325
FEMALE,2.6344444444444446,6.9502731674178
MALE,2.3128902953586503,7.2617421787901
NOT_KNOW,1.6110000000000002,7.3194573355861
BOTH,1.9601999999999997,7.109414160465
FEMALE,2.2875,6.8570158909147
MALE,2.1963828125,7.1553729471486
NOT_KNOW,1.850125,7.0082577415147
