fav_game_type,mean_score
ACTION,859.6997034613532
FPS,1146.350430815035
HACK_AND_SLASH,371.02213873054
HORROR,145.71358879796975
LOGIC,441.9781815902742
MMO,718.71283860033
PLATFORM,300.8234894792108
RPG,1018.819775909648
RTS,889.876468292895
SANDBOX,581.3857853589836
SIMULATION,401.94530800889424
STORY_RICH,1896.93373198
SURVIVAL,872.0956454089953
