time_to_fall,mean_time_to_click
3.2358017242243,1.68
3.2408071864755,1.752
3.2885946092446,2.294
3.3559845219839,1.926
3.364821802593,2.3
3.4058399285669,2.074
3.4079725116798,1.996
3.4343455716914,2.296
3.4431798636939,1.76
3.4462285075463,2.009
3.4467081453072,1.918
3.4651675901425,0.742
3.4746660777546,1.81
3.4774961366875,2.295
3.4801833207621,2.108
3.4860859181204,2.15
3.4876430902852,1.714
3.4885999269594,1.714
3.4929340926324,1.099
3.5023815198798,2.186
3.5096328665361,2.058
3.5125274683123,2.477
3.5242859062682,2.363
3.5283337998981,2.165
3.5316195344966,2.701
3.5343156190689,2.709
3.5395534995092,2.003
3.5423840187424,2.188
3.5515832836537,1.687
3.5523998939408,2.58
3.5573839913176,2.355
3.5579619920893,2.146
3.564645984248,1.341
3.5670997911145,1.868
3.5714565430874,1.562
3.5835707037709,1.858
3.6016141961109,2.521
3.6016965282925,2.364
3.6037600152011,1.399
3.6052311907195,2.377
3.6058683463707,1.587
3.6071457391403,1.138
3.6088011405406,1.767
3.6114717351347,1.681
3.6120089352096,2.07
3.617740718834,1.662
3.6235583472571,0.92
3.6244198573994,2.689
3.6280044679537,2.579
3.6318591508473,2.525
3.634783494883,0.926
3.6357097730773,2.234
3.6376668342552,2.096
3.6466176576401,1.106
3.647352279461,2.605
3.6476429587195,2.425
3.6551215372355,1.468
3.6626371672808,2.672
3.6632752203211,2.419
3.6636041553503,2.03
3.6679195190766,1.886
3.6683063745171,2.075
3.6716185778799,3.039
3.6726968359975,2.41
3.6771117974992,2.247
3.6789263546081,1.16
3.6826111717526,1.579
3.6836546197501,1.98
3.6858334298321,1.641
3.6911933495709,2.163
3.69239087878,1.373
3.6926890177545,2.493
3.6961002289304,2.183
3.6974522902209,2.648
3.6984929231249,2.242
3.7100740126231,2.291
3.7175305154906,2.385
3.718913324402,2.138
3.7272649182379,1.78
3.7321599483029,1.242
3.7367649742968,1.746
3.7576436227937,2.544
3.7828652447824,2.296
3.7887354461218,1.139
3.7955206387485,2.984
3.7999150656787,2.787
3.8032947126252,2.036
3.8096109957164,1.485
3.8181481034108,2.74
3.8242637699089,2.293
3.8291287714272,1.574
3.8293239237231,2.366
3.8297141362581,3.131
3.8302454386557,3.046
3.8333780737374,2.338
3.8364324603371,2.082
3.8375476043544,0.9
3.8402979084639,1.184
3.8425512613708,1.265
3.8457599193479,0.769
3.8470675343996,2.442
3.8538050354442,2.058
3.8540311383138,2.526
3.8547824443965,0.86
3.8564483410465,2.518
3.8596037443589,2.456
3.8647151679516,1.631
3.8650073814911,1.018
3.8655530106631,2.067
3.8658890985413,3.171
3.8704095673187,2.393
3.8715365808007,2.032
3.8774114947174,1.254
3.8794810509324,1.54
3.8821734327531,2.149
3.8824260044614,2.68
3.8840748471384,1.427
3.8846029436323,1.21
3.8875636725634,3.088
3.8912743987499,1.92
3.8927141395034,1.934
3.893389168308,2.406
3.8934726385999,2.548
3.9010229321909,1.308
3.9012335968654,1.852
3.9016336581158,2.135
3.9021765845853,2.452
3.9052003839231,2.786
3.9069044048685,2.694
3.9071773053192,2.762
3.9113205715401,1.243
3.9135404219159,1.2
3.9150480360983,2.775
3.9201030998819,1.911
3.9211121810995,2.795
3.925963623073,2.189
3.9279117275074,1.042
3.9364721681906,2.405
3.9372301363774,2.116
3.9389256480526,1.977
3.942107094717,2.692
3.9439282943072,1.395
3.94504169834,3.108
3.9455612417539,2.9
3.9476233567874,0.868
3.9509679947432,1.028
3.9510457860628,2.049
3.9528908740554,0.717
3.9609002802811,2.52
3.9648843842183,2.402
3.9691877491282,1.958
3.9724153326562,2.447
3.9747726318444,1.325
3.9773831382245,2.532
3.9824108663646,1.312
3.9830514667305,2.776
3.984310517969,0.875
3.9848854874949,0.783
3.9883283846392,0.984
3.988668301931,2.234
3.9898308468864,2.795
3.9930893369993,1.304
3.9946800424357,0.991
3.9952027739978,0.844
3.9961552700608,1.39
4.00042542841,1.062
4.0017499978236,2.267
4.0033518255881,1.565
4.0041983762665,2.243
4.0043860393011,1.415
4.0080688929435,2.22
4.011137398085,2.519
4.0155757964714,1.066
4.0181101288752,1.808
4.0200243469403,2.456
4.0316472712655,2.58
4.0325389111282,2.8
4.0331678407384,2.617
4.0338481869259,2.51
4.0349649379189,3.393
4.0360546697338,2.935
4.039849470894,2.972
4.0455180285338,1.724
4.049662537859,1.282
4.0503171910686,2.36
4.0559975209534,0.556
4.0571241730835,1.225
4.0602043873312,2.106
4.0622951520028,2.137
4.0631697578324,2.826
4.0647695236672,0.763
4.0658288557484,3.013
4.0658583701644,2.316
4.0661898310899,0.71
4.0679099332313,2.458
4.0687196047013,1.113
4.0695626040064,2.232
4.0766490942727,2.583
4.0791110053753,2.58
4.08046100603,3.484
4.0831696864979,0.742
4.084892014962,2.906
4.0855094740825,1.616
4.0949663653598,1.727
4.0956895503654,1.098
4.0962929393716,2.657
4.0987683295739,2.601
4.0990962514216,1.977
4.103904502302,2.464
4.1049401803652,0.664
4.1095259236925,2.75
4.1159112605228,1.841
4.1165021626425,1.882
4.1232459819318,2.273
4.1234527151058,1.036
4.1241014112303,2.04
4.1295456142378,2.3
4.131612958064,2.58
4.1323258669685,2.401
4.1367868677486,2.048
4.1382878920566,3.053
4.1386230095115,1.274
4.1395165280706,1.982
4.1397621189848,2.758
4.1427321113711,2.496
4.1457226421148,0.872
4.1476489341133,2.996
4.1496407596163,1.428
4.1533594816299,3.256
4.1554851418337,1.247
4.156419443668,2.777
4.1574684075965,2.111
4.1578534465198,2.809
4.1583540664114,1.996
4.1586850665111,3.458
4.1633664637533,2.783
4.1651477814982,1.856
4.1657384744467,2.819
4.1688403950706,1.117
4.1752419263736,0.969
4.1779650159735,2.836
4.1792660339525,2.116
4.1834674139044,3.073
4.1864801902836,0.79
4.1893203506479,2.738
4.190140783187,2.047
4.1921509671196,2.033
4.1984966482487,3.07
4.1991641577583,1.253
4.2004350315389,2.727
4.2008957546069,2.188
4.2019721643779,2.519
4.2041281896298,0.759
4.2056764672419,0.941
4.2085804792516,3.339
4.2107275546013,3.423
4.2127180203222,1.993
4.2168877637804,1.801
4.2169998335105,1.006
4.2172709634521,2.215
4.2197579757505,0.635
4.2203003451556,1.809
4.2221842033186,3.136
4.2231058917725,2.406
4.2235744217605,2.475
4.2275013240327,2.297
4.2294807854072,2.666
4.2320690490773,1.406
4.2325769510006,1.29
4.2331209092746,3.138
4.2347469975435,1.01
4.2385014082354,0.936
4.2428371134442,3.068
4.2444619707844,0.681
4.2446847728112,2.536
4.2456545495749,0.834
4.2465794146763,2.866
4.2478186080096,1.538
4.2503903825567,3.4
4.252011781533,1.908
4.2532338348565,2.309
4.255017635168,0.65
4.2552849271965,0.837
4.2554090013712,0.856
4.2556161588958,0.798
4.25620930987,2.127
4.2565266609578,3.157
4.2611618805632,3.264
4.2619830787967,2.346
4.262782004804,1.127
4.262845468825,2.237
4.2660138734151,2.45
4.2666532546143,2.585
4.2678419772981,3.342
4.2682143421279,2.149
4.2683255776218,1.958
4.2683281115265,2.131
4.2693540657794,2.762
4.2699069484611,2.84
4.2703973437237,2.701
4.2714603586682,2.797
4.2716174908409,2.988
4.2723758544883,0.815
4.2731490215796,1.875
4.2744591527739,2.853
4.2764200891042,3.12
4.2808017997634,3.351
4.2812977286312,2.718
4.2815963902651,2.709
4.2823595741598,2.261
4.2874406881123,1.876
4.2913505523325,2.21
4.2920078043636,2.12
4.2922720776093,2.944
4.2962958412781,2.059
4.2963466887772,1.487
4.2970482234938,1.14
4.2982485440383,2.562
4.2990334152074,1.975
4.299556908306,1.023
4.3009091635405,2.536
4.3011925249656,2.109
4.3054406543039,0.785
4.3098733469976,0.883
4.3100040483243,2.059
4.3118905310761,2.558
4.3145388931331,1.559
4.3150294881183,2.119
4.3150327622247,3.515
4.3179269637556,2.963
4.3198717678798,3.205
4.3203488205366,2.336
4.3213745909538,2.05
4.3216188460654,2.63
4.3238913940976,2.576
4.3238963583346,1.523
4.3260468669261,2.727
4.3264468932984,2.531
4.3281636871786,1.526
4.3283943021951,1.024
4.3285074750741,1.633
4.3286925209014,2.177
4.3302167777804,1.115
4.3307496211531,2.501
4.3312015189416,1.098
4.3326020621418,2.239
4.332964903212,1.949
4.3334608107133,2.644
4.3371665359407,2.129
4.3379254156638,0.898
4.3384846931531,2.576
4.3390375106006,2.25
4.34037280747,3.629
4.3422107785837,3.334
4.3426924848708,2.854
4.3434200492294,2.49
4.3453791523937,0.725
4.3466175646285,2.931
4.346632965544,2.74
4.3475024685146,1.56
4.3477765957671,3.021
4.348362697658,3.375
4.348392849814,2.658
4.3490975562835,1.622
4.3494414365629,1.958
4.3507062167013,2.125
4.3566401756142,2.436
4.3585914153017,0.965
4.3607853350774,2.74
4.3614165066427,0.744
4.3624920572258,2.474
4.3633430142894,0.815
4.3640284551396,1.893
4.3648093805243,1.522
4.3648217174224,3.384
4.3648379983187,1.234
4.3653028881336,3.105
4.3677694375915,2.171
4.3704636174869,2.517
4.3722417830242,1.071
