fav_game_type,mean_score,game_count
ACTION,1038.9301280367713,14
FPS,1146.350430815035,4
HACK_AND_SLASH,371.02213873054,1
HORROR,313.68863702218,2
LOGIC,1123.8741783820967,3
MMO,718.71283860033,2
PLATFORM,579.83379400738,2
RPG,1178.2423284643883,6
RTS,889.876468292895,2
SANDBOX,1446.7397663691038,8
SIMULATION,930.8858470126379,5
STORY_RICH,1896.93373198,1
SURVIVAL,1519.9963387047774,4
