fav_game_type,mean_time
ACTION,2.367391412742382
FPS,2.2908316831683173
HACK_AND_SLASH,2.3873675213675214
HORROR,3.156694300518134
LOGIC,2.1109177057356594
MMO,2.4409794344473013
PLATFORM,2.5149604863221873
RPG,2.1707652901202272
RTS,2.504752688172043
SANDBOX,1.925359462970985
SIMULATION,2.2752337448559645
STORY_RICH,2.3196601466992655
SURVIVAL,2.0024282511210734
