fav_game_type,time_to_click,time_to_fall
RTS,2.8296666666666668,7.3657866277958
SANDBOX,1.8228636363636368,7.5471944293145
SIMULATION,2.3357916666666667,5.773213531099
STORY_RICH,2.1470000000000002,7.1630734947699
SURVIVAL,2.217303030303031,7.6635794474782
ACTION,2.4761749999999987,7.2822897037113
FPS,2.431545454545455,5.8134908593938
HACK_AND_SLASH,2.372666666666667,6.6460364575271
HORROR,2.876,6.8871791476447
LOGIC,1.9534666666666665,6.9472361049255
MMO,2.5362857142857145,7.3965061499374
PLATFORM,2.3914999999999997,7.2437672702634
RPG,2.0561219512195117,7.5872083246193
RTS,2.6683846153846154,7.0823756911828
SANDBOX,1.8938852459016393,7.4253618986964
SIMULATION,2.332655172413793,7.8661132363697
STORY_RICH,2.4491666666666667,7.043688854464
SURVIVAL,1.9972142857142854,7.2558331526835
ACTION,2.2508214285714283,7.3735966128619
FPS,2.69225,7.1713713914372
HACK_AND_SLASH,2.474,6.6842436261995
HORROR,2.9558,7.0514584650333
LOGIC,2.127473684210526,6.9699090098566
MMO,2.4755,6.5464915861634
PLATFORM,2.392857142857143,7.3024642727493
RPG,1.9252571428571426,7.194287767386
RTS,2.9640000000000004,6.4015497527525
SANDBOX,1.877066666666667,7.6164212099585
SIMULATION,2.4121200000000003,7.1144506042406
STORY_RICH,1.8295,7.6387640968508
SURVIVAL,2.361,7.5277015715377
ACTION,2.672770270270271,7.431864631514
FPS,2.7751111111111118,7.2434670057606
HACK_AND_SLASH,3.1609999999999996,7.6186633411016
HORROR,2.927,6.7032129120533
LOGIC,2.4191875,6.8306317419569
MMO,2.233625,6.5230492745781
PLATFORM,2.7933636363636367,6.8126020603459
RPG,2.317392857142857,6.7961567474726
RTS,2.3818571428571427,7.2804167126657
SANDBOX,2.087887096774194,6.6465040893513
SIMULATION,2.3568235294117645,6.3338274028367
STORY_RICH,2.4427777777777777,7.205422525997
SURVIVAL,2.081107142857143,7.7174880524842
ACTION,2.4143636363636367,6.8815981154919
FPS,2.2115555555555555,7.6404118488558
HACK_AND_SLASH,2.13925,7.1281298067129
LOGIC,2.09921052631579,7.1246021301188
MMO,2.8395,7.2060339113171
PLATFORM,2.847,7.3532971139545
RPG,2.5065714285714282,7.0093946973566
RTS,2.91925,5.7506094995589
SANDBOX,1.9450857142857139,7.0493315894788
SIMULATION,2.4166969696969702,7.0406910204276
STORY_RICH,1.9363333333333335,7.429784944495
SURVIVAL,2.174000000000001,6.4636902463232
ACTION,2.513916666666667,7.3076429102403
FPS,2.4690434782608692,6.1864218684749
HACK_AND_SLASH,2.3634999999999997,7.3406182782815
HORROR,3.375666666666666,7.5015652024771
LOGIC,2.5369999999999995,6.7155412163025
MMO,3.0392500000000005,6.57488459306
PLATFORM,1.9445,6.8953386230187
RPG,2.292380952380953,7.6076123033322
RTS,3.0314444444444444,6.9852664007927
SANDBOX,1.9454848484848484,7.1855298435105
SIMULATION,2.5139565217391304,7.5456817264735
STORY_RICH,1.8974,7.4784343042614
SURVIVAL,1.8759666666666666,7.0310204581719
ACTION,2.4049036144578304,6.6034657163218
FPS,2.1699599999999997,7.6023986973708
HACK_AND_SLASH,2.112,6.962206783534
HORROR,3.577,7.2575859153169
LOGIC,2.329875,7.7670831905743
MMO,2.2725,7.0134377984172
PLATFORM,2.5215555555555556,7.6532640321202
RPG,2.2272631578947366,7.198515323031
RTS,2.4993636363636367,7.3063106862357
SANDBOX,2.06127027027027,7.2988395770102
SIMULATION,1.9535,7.008849947351
STORY_RICH,2.3554444444444442,7.2646443592345
SURVIVAL,1.7141764705882352,6.1546201627133
ACTION,2.3401515151515153,7.2818179729703
FPS,2.3477777777777775,7.4266926169887
HORROR,2.97275,7.2603541649649
LOGIC,2.2830000000000004,7.1840066490596
MMO,2.2418333333333336,7.4782698714142
PLATFORM,2.36775,6.7973730291506
RPG,2.0122857142857145,6.433532500804
RTS,2.9619166666666668,7.1326662742807
SANDBOX,1.8554893617021273,7.4264830872767
SIMULATION,2.091482758620689,7.4628290174892
STORY_RICH,1.999857142857143,7.3501950561194
SURVIVAL,1.9784242424242424,7.6607518372971
ACTION,2.3512142857142857,5.8922003787573
FPS,2.2240555555555557,7.5560153921805
HORROR,2.517,7.5968750274111
LOGIC,2.2683125000000004,7.0443671910389
MMO,1.9222857142857142,7.4878404023075
PLATFORM,2.3848571428571432,7.6357518144096
RPG,2.302404761904762,7.3996074475459
RTS,2.6595714285714287,7.6427975109126
SANDBOX,1.9680740740740734,7.4397864127579
SIMULATION,2.203439999999999,6.2048835514717
STORY_RICH,2.384875,6.8396155400996
SURVIVAL,1.8898518518518523,7.6090380513552
ACTION,2.4337662337662334,7.2189390068142
FPS,2.463,5.8681772547034
HACK_AND_SLASH,2.202,7.1231238349183
HORROR,3.785,7.0128318020034
LOGIC,2.0230833333333327,7.0688381406006
MMO,3.10575,6.8376486932163
PLATFORM,2.9056666666666664,6.1773431283334
RPG,2.0685357142857144,7.3949018105059
RTS,2.5647,7.5893083735655
SANDBOX,1.881925,6.833109930274
SIMULATION,2.131809523809524,7.8835336970182
STORY_RICH,2.4232727272727272,7.0836631028575
SURVIVAL,2.1597619047619045,7.2026019647348
ACTION,2.292741935483871,6.5023146459838
FPS,2.074173913043478,7.3580501549068
HACK_AND_SLASH,3.249,6.6179433159952
HORROR,3.2435,7.0092132027264
LOGIC,1.939857142857143,7.3516495502347
MMO,2.109,7.1602602553092
PLATFORM,2.6215,7.293299337682
RPG,2.178348837209302,7.2065370248931
RTS,2.5425714285714283,7.5443116292725
SANDBOX,1.8474893617021273,6.7694704058011
SIMULATION,2.4312105263157893,6.2322447842999
STORY_RICH,2.2105,7.1342558527614
SURVIVAL,2.0128823529411766,6.677600045798
ACTION,2.5687464788732393,7.723300213854
FPS,2.4856000000000003,7.3158350407861
HACK_AND_SLASH,1.9412500000000001,7.4510441598999
HORROR,2.9170000000000003,6.5088451553999
LOGIC,1.941277777777778,7.179668272889
MMO,2.6061666666666667,6.8339387997367
PLATFORM,2.73175,7.4791478158802
