small < 60px,big >= 60px,slow < 6.5s,fast >= 6.5s,favourite_game_type
2.274959633027527,2.129255116959062,1.7007555266580001,2.486707167832166,RPG
2.3246512261580388,2.253846698113208,1.856162828947371,2.694995057660626,SIMULATION
2.2159626556016585,2.0657914438502667,1.6494622356495474,2.4352101910828043,LOGIC
2.478669811320755,2.532210762331838,2.2509707317073158,2.9513951612903226,PLATFORM
2.7020615384615376,2.4281850746268643,2.1310271493212665,2.8432499999999994,RTS
2.405683870967742,2.246382022471913,1.932808189655171,2.547590417310668,FPS
3.0391702127659577,3.194527397260275,3.178314685314686,3.0948600000000006,HORROR
2.0838479381443324,1.9691747368421038,1.8496409185803753,2.0876263096623937,SURVIVAL
2.442293103448269,2.3369169914263437,1.9334411214953247,2.714768079800499,ACTION
1.9808414096916307,1.9021511056511091,1.6734309576837416,2.085693834160173,SANDBOX
,,,,MOBA
2.379361111111111,2.3909259259259255,2.325168421052631,2.6559545454545455,HACK_AND_SLASH
2.446379310344828,2.43868498168498,2.177296803652968,2.7806647058823537,MMO
2.2972881355932198,2.328731958762887,1.714977272727273,2.6078122743682317,STORY_RICH
