fav_game_type,best_score
ACTION,2117.8440130657
FPS,2065.2012174582
HACK_AND_SLASH,371.02213873054
HORROR,347.10880710589
LOGIC,1964.0116780666
MMO,1068.4564196707
PLATFORM,829.97582835596
RPG,1560.5548820857
RTS,1242.5455013142
SANDBOX,3248.1764433435
SIMULATION,1667.716571149
STORY_RICH,1896.93373198
SURVIVAL,3143.711008836
