fav_game_type,time_to_click,square_size
LOGIC,2.217111111111111,75
MMO,2.4412857142857143,75
PLATFORM,3.2872,75
RPG,2.179628571428571,75
RTS,2.863,75
SANDBOX,1.8264901960784312,75
SIMULATION,2.3266249999999995,75
STORY_RICH,2.410428571428571,75
SURVIVAL,1.8860000000000003,75
ACTION,2.2551641791044768,76
FPS,2.1733599999999997,76
HACK_AND_SLASH,2.10825,76
HORROR,2.9104,76
LOGIC,2.340214285714286,76
MMO,2.5352000000000006,76
PLATFORM,2.090666666666667,76
RPG,1.9741136363636365,76
RTS,2.416857142857143,76
SANDBOX,1.9092115384615387,76
SIMULATION,2.263923076923077,76
STORY_RICH,2.3563333333333336,76
SURVIVAL,1.869217391304348,76
ACTION,2.3105584415584426,77
FPS,2.3647692307692307,77
HACK_AND_SLASH,2.932,77
HORROR,3.207,77
LOGIC,1.9460000000000002,77
MMO,2.8478333333333334,77
PLATFORM,3.1673999999999998,77
RPG,2.396736842105263,77
RTS,2.3962222222222223,77
SANDBOX,1.8699795918367348,77
SIMULATION,2.12,77
STORY_RICH,2.4426250000000005,77
SURVIVAL,1.9561153846153847,77
ACTION,2.1974285714285724,78
FPS,1.9710416666666672,78
HORROR,3.4405,78
LOGIC,2.0992,78
MMO,2.592181818181818,78
PLATFORM,2.0215,78
RPG,2.1232413793103446,78
RTS,2.2983846153846152,78
SANDBOX,1.914106382978723,78
SIMULATION,2.065774193548387,78
STORY_RICH,2.0734166666666662,78
SURVIVAL,2.0596800000000006,78
ACTION,2.2699508196721307,79
FPS,2.1822173913043486,79
HACK_AND_SLASH,2.7079999999999997,79
HORROR,3.2593333333333336,79
LOGIC,2.3672352941176475,79
MMO,2.4385,79
PLATFORM,3.5416666666666665,79
RPG,2.1148666666666665,79
RTS,2.3655833333333334,79
SANDBOX,1.6628205128205127,79
SIMULATION,2.43304347826087,79
STORY_RICH,1.9495000000000002,79
SURVIVAL,1.910083333333333,79
ACTION,2.2516428571428566,80
FPS,2.1632000000000007,80
HACK_AND_SLASH,2.8913333333333333,80
HORROR,2.88,80
LOGIC,2.0700666666666665,80
MMO,2.344777777777778,80
PLATFORM,2.645166666666667,80
RPG,2.1927346938775507,80
RTS,3.4479999999999995,80
SANDBOX,1.9166274509803922,80
SIMULATION,2.14252,80
STORY_RICH,1.8236666666666668,80
SURVIVAL,2.05684090909091,80
ACTION,2.340625,81
FPS,2.5107647058823535,81
HACK_AND_SLASH,2.8280000000000003,81
HORROR,3.478,81
LOGIC,2.378428571428571,81
MMO,2.3091666666666666,81
PLATFORM,2.4106666666666667,81
RPG,2.3376521739130434,81
RTS,2.5091428571428573,81
SANDBOX,1.815555555555556,81
SIMULATION,2.4006153846153846,81
STORY_RICH,2.1288,81
SURVIVAL,2.0015200000000006,81
