small < 60px,big >= 60px,slow < 6.5s,fast >= 6.5s,age
2.1914670487106065,2.0955626867610713,1.798290133212917,2.3479976595412664,15-25
2.4856932432432446,2.44074266740454,1.9234278807413348,2.9577802450229695,25-45
2.9858304347826086,2.755951492537314,2.559793333333334,3.202607594936709,45-60
3.770111111111111,3.5724516129032255,3.6450612244897966,,<15
