small,big,slow,fast,age
2.1914670487106065,2.0955626867610713,1.9120239975228353,2.4350721625942,15-25
2.4856932432432446,2.44074266740454,2.119467379077613,3.226816644993502,25-45
2.9858304347826086,2.755951492537314,2.7443233082706784,3.3560000000000008,45-60
