work_type,time_to_click,time_to_fall
MIXED,1.9685,6.5926633092741
PHYSICAL,5.364,7.1070762201432
STUDENT,2.2354545454545454,6.4015497527525
WORKING_STUDENT_MENTAL,2.1672747252747255,6.7970676699474
WORKING_STUDENT_PHYSICAL,3.7463333333333337,6.3820477972093
BURNT_OUT,1.9276071428571429,6.7620053120128
MENTAL,2.5443333333333324,6.3338274028367
MIXED,2.623428571428571,7.2602456650034
PHYSICAL,4.253,6.9501728020962
STUDENT,2.371131868131868,7.2804167126657
WORKING_STUDENT_MENTAL,2.4517816091954026,7.5870849567685
WORKING_STUDENT_PHYSICAL,2.8162499999999997,6.9501901430453
BURNT_OUT,1.6555384615384616,7.6341793292844
MENTAL,2.680353846153846,7.0406910204276
MIXED,2.3817142857142852,7.395319669389
STUDENT,2.3044743589743595,5.7506094995589
WORKING_STUDENT_MENTAL,2.1711320754716987,7.1786845377713
WORKING_STUDENT_PHYSICAL,2.8472,6.8022331983922
BURNT_OUT,1.7165714285714284,7.1050044928039
MENTAL,2.804849999999999,7.5456817264735
MIXED,2.0109999999999997,7.6628459884836
PHYSICAL,4.074,7.6701147730021
STUDENT,2.1954249999999993,6.9852664007927
WORKING_STUDENT_MENTAL,2.3046288659793817,6.3892348030498
WORKING_STUDENT_PHYSICAL,2.3796,7.5296137203555
BURNT_OUT,2.1087894736842108,7.3507117144403
MENTAL,2.4177777777777782,7.008849947351
MIXED,2.6639999999999997,7.2946411077222
STUDENT,2.1258144329896904,7.3063106862357
WORKING_STUDENT_MENTAL,2.2666265060240955,7.5029153256205
WORKING_STUDENT_PHYSICAL,2.3466,7.0077272016387
BURNT_OUT,1.5670000000000002,6.5355437183399
MENTAL,2.342892307692307,7.4628290174892
MIXED,2.2146666666666666,7.8842556959475
PHYSICAL,4.003,6.9952037450454
STUDENT,2.0961960784313733,7.1326662742807
WORKING_STUDENT_MENTAL,2.214686746987952,7.3298277194237
WORKING_STUDENT_PHYSICAL,3.303,7.4645457374826
BURNT_OUT,1.6745333333333334,7.1125450442028
MENTAL,2.5006202531645574,6.2048835514717
MIXED,2.0674,7.2886731954694
PHYSICAL,3.188,7.6394657224788
STUDENT,2.1423250000000005,7.6427975109126
WORKING_STUDENT_MENTAL,2.097888888888889,7.0550788589478
WORKING_STUDENT_PHYSICAL,3.1094999999999997,6.7151729548913
BURNT_OUT,1.644608695652174,7.5015191948862
MENTAL,2.5661833333333335,7.8835336970182
MIXED,2.614,6.073646917708
STUDENT,2.3176117647058825,7.5893083735655
WORKING_STUDENT_MENTAL,2.162416666666667,6.9486976817228
WORKING_STUDENT_PHYSICAL,2.2307500000000005,6.3386915982995
BURNT_OUT,1.6273809523809526,7.0873134915219
MENTAL,2.4529852941176467,6.2322447842999
MIXED,2.3083333333333336,6.6507772031286
STUDENT,2.0798414634146334,7.5443116292725
WORKING_STUDENT_MENTAL,2.1678235294117645,6.8359225961876
WORKING_STUDENT_PHYSICAL,2.192833333333333,7.1096408618837
