work_type,time_to_click,square_size
BURNT_OUT,1.6634285714285713,69
MENTAL,2.4642500000000016,69
PHYSICAL,4.609,69
STUDENT,2.1514361702127665,69
WORKING_STUDENT_MENTAL,1.9797865168539328,69
WORKING_STUDENT_PHYSICAL,2.4535,69
BURNT_OUT,1.9684583333333332,70
MENTAL,2.4222972972972983,70
MIXED,2.093,70
STUDENT,1.9744146341463416,70
WORKING_STUDENT_MENTAL,2.3313666666666673,70
WORKING_STUDENT_PHYSICAL,2.228,70
BURNT_OUT,1.8324500000000001,71
MENTAL,2.488257142857144,71
MIXED,2.1170000000000004,71
PHYSICAL,3.906,71
STUDENT,2.0095578947368424,71
WORKING_STUDENT_MENTAL,2.180208791208791,71
WORKING_STUDENT_PHYSICAL,2.172333333333333,71
BURNT_OUT,1.7525769230769228,72
MENTAL,2.22942372881356,72
MIXED,2.901,72
PHYSICAL,3.7487500000000002,72
STUDENT,2.246393258426967,72
WORKING_STUDENT_MENTAL,2.246182795698924,72
WORKING_STUDENT_PHYSICAL,2.6372000000000004,72
BURNT_OUT,1.8471052631578946,73
MENTAL,2.5372405063291135,73
MIXED,2.108,73
PHYSICAL,3.7645,73
STUDENT,2.1143636363636356,73
WORKING_STUDENT_MENTAL,2.226641025641026,73
WORKING_STUDENT_PHYSICAL,2.336125,73
BURNT_OUT,1.7351176470588234,74
MENTAL,2.433065573770492,74
MIXED,2.444571428571429,74
PHYSICAL,3.545,74
STUDENT,2.0582168674698798,74
WORKING_STUDENT_MENTAL,2.2983529411764705,74
WORKING_STUDENT_PHYSICAL,2.1632,74
BURNT_OUT,1.7110400000000003,75
MENTAL,2.350283783783784,75
MIXED,2.3014,75
PHYSICAL,3.194,75
STUDENT,2.1500757575757574,75
WORKING_STUDENT_MENTAL,2.3527040816326528,75
WORKING_STUDENT_PHYSICAL,2.5985,75
BURNT_OUT,1.80285,76
MENTAL,2.306527027027027,76
MIXED,1.7225,76
PHYSICAL,2.089,76
STUDENT,2.0777446808510636,76
WORKING_STUDENT_MENTAL,2.1480729166666666,76
WORKING_STUDENT_PHYSICAL,2.863666666666667,76
BURNT_OUT,1.7014090909090909,77
MENTAL,2.3903230769230768,77
MIXED,2.211,77
PHYSICAL,4.286,77
STUDENT,2.093485436893204,77
WORKING_STUDENT_MENTAL,2.405802469135803,77
WORKING_STUDENT_PHYSICAL,2.4638333333333335,77
BURNT_OUT,1.8387499999999999,78
MENTAL,2.4037051282051287,78
MIXED,2.2921428571428573,78
STUDENT,1.9526451612903228,78
WORKING_STUDENT_MENTAL,2.13585393258427,78
WORKING_STUDENT_PHYSICAL,1.8064,78
BURNT_OUT,1.7938823529411767,79
MENTAL,2.3324078947368414,79
MIXED,2.167,79
STUDENT,2.088511363636364,79
WORKING_STUDENT_MENTAL,2.241636363636364,79
WORKING_STUDENT_PHYSICAL,1.6980000000000002,79
BURNT_OUT,1.674263157894737,80
MENTAL,2.3541111111111115,80
MIXED,2.435,80
STUDENT,2.089326530612244,80
WORKING_STUDENT_MENTAL,2.2860190476190465,80
WORKING_STUDENT_PHYSICAL,2.0476666666666667,80
BURNT_OUT,1.7015652173913045,81
MENTAL,2.7599189189189177,81
MIXED,2.169,81
PHYSICAL,2.665,81
STUDENT,2.0679868421052627,81
WORKING_STUDENT_MENTAL,2.154284090909091,81
WORKING_STUDENT_PHYSICAL,2.7768,81
BURNT_OUT,1.8924615384615384,82
MENTAL,2.3553676470588236,82
MIXED,2.192142857142857,82
STUDENT,2.1700707070707077,82
WORKING_STUDENT_MENTAL,2.09453488372093,82
WORKING_STUDENT_PHYSICAL,2.52425,82
BURNT_OUT,1.884,83
MENTAL,2.3517066666666655,83
MIXED,2.0484999999999998,83
STUDENT,2.1111170212765966,83
WORKING_STUDENT_MENTAL,2.2079907407407413,83
WORKING_STUDENT_PHYSICAL,2.441,83
BURNT_OUT,1.8345999999999998,84
MENTAL,2.209166666666666,84
MIXED,1.745,84
PHYSICAL,3.596,84
STUDENT,2.28569411764706,84
WORKING_STUDENT_MENTAL,2.1894859813084113,84
WORKING_STUDENT_PHYSICAL,2.4462,84
BURNT_OUT,1.742,85
MENTAL,2.3239687500000006,85
MIXED,1.5953333333333335,85
PHYSICAL,3.634,85
STUDENT,2.14247572815534,85
WORKING_STUDENT_MENTAL,2.279877777777778,85
WORKING_STUDENT_PHYSICAL,2.249833333333333,85
BURNT_OUT,1.5103478260869565,86
MENTAL,2.476819672131146,86
MIXED,2.072,86
PHYSICAL,3.4749999999999996,86
STUDENT,2.1697733333333336,86
WORKING_STUDENT_MENTAL,2.1449135802469144,86
WORKING_STUDENT_PHYSICAL,2.489666666666667,86
BURNT_OUT,1.9410833333333333,87
MENTAL,2.2400232558139543,87
STUDENT,1.9065494505494498,87
WORKING_STUDENT_MENTAL,2.0216190476190485,87
WORKING_STUDENT_PHYSICAL,1.8476666666666668,87
BURNT_OUT,1.8830833333333334,88
MENTAL,2.277242424242424,88
MIXED,2.0119999999999996,88
PHYSICAL,5.5169999999999995,88
STUDENT,2.1063142857142862,88
WORKING_STUDENT_MENTAL,2.2514725274725276,88
WORKING_STUDENT_PHYSICAL,1.79575,88
BURNT_OUT,1.6823124999999999,89
MENTAL,2.301157142857143,89
MIXED,2.5145,89
PHYSICAL,2.874,89
STUDENT,2.1058977272727266,89
WORKING_STUDENT_MENTAL,2.1926547619047625,89
WORKING_STUDENT_PHYSICAL,1.9658000000000002,89
BURNT_OUT,1.87885,90
MENTAL,2.269597402597403,90
MIXED,2.417,90
STUDENT,2.0868309859154923,90
WORKING_STUDENT_MENTAL,2.335029702970297,90
WORKING_STUDENT_PHYSICAL,1.9953333333333332,90
BURNT_OUT,1.9405000000000001,91
MENTAL,2.3108545454545455,91
MIXED,3.692,91
STUDENT,2.1851558441558447,91
WORKING_STUDENT_MENTAL,2.1599574468085105,91
WORKING_STUDENT_PHYSICAL,2.858333333333334,91
BURNT_OUT,1.8031052631578952,92
MENTAL,2.3398684210526324,92
MIXED,1.8945,92
PHYSICAL,3.503,92
STUDENT,1.8777702702702692,92
WORKING_STUDENT_MENTAL,2.154259259259259,92
WORKING_STUDENT_PHYSICAL,2.3506,92
BURNT_OUT,1.6524666666666663,93
MENTAL,2.3746176470588236,93
MIXED,1.9184285714285718,93
STUDENT,2.0642142857142862,93
WORKING_STUDENT_MENTAL,2.0690208333333344,93
WORKING_STUDENT_PHYSICAL,2.4295000000000004,93
BURNT_OUT,1.7505652173913042,94
MENTAL,2.282746478873239,94
MIXED,1.925,94
PHYSICAL,3.544,94
STUDENT,2.1345490196078427,94
WORKING_STUDENT_MENTAL,2.2645882352941187,94
WORKING_STUDENT_PHYSICAL,2.010333333333333,94
BURNT_OUT,1.785705882352941,95
MENTAL,2.458532258064517,95
MIXED,2.3396,95
STUDENT,2.1161962616822434,95
WORKING_STUDENT_MENTAL,2.259875000000001,95
WORKING_STUDENT_PHYSICAL,2.1493333333333333,95
