work_type,mean_score
BURNT_OUT,2504.1391774608
MENTAL,792.679761486736
MIXED,754.93197933875
PHYSICAL,136.74899334477
STUDENT,1507.9722542991758
WORKING_STUDENT_MENTAL,1088.7732714302476
WORKING_STUDENT_PHYSICAL,435.516067264465
